glyphType;knowledgeScore;subject
D3GlyphMix;0.5714285714285714;67
D3Pie;0.5714285714285714;67
D3Glyph;0.5714285714285714;67
D3GlyphMix;0.5714285714285714;67
D3Pie;0.5714285714285714;67
D3Glyph;0.5714285714285714;67
D3Glyph;0.5714285714285714;67
D3Pie;0.5714285714285714;67
D3GlyphMix;0.5714285714285714;67
D3Pie;0.21428571428571427;69
D3Glyph;0.21428571428571427;69
D3GlyphMix;0.21428571428571427;69
D3Glyph;0.21428571428571427;69
D3Pie;0.21428571428571427;69
D3GlyphMix;0.21428571428571427;69
D3Glyph;0.21428571428571427;69
D3Pie;0.21428571428571427;69
D3Pie;0.21428571428571427;69
D3Pie;0.25;72
D3GlyphMix;0.25;72
D3GlyphMix;0.25;72
D3Glyph;0.25;72
D3GlyphMix;0.25;72
D3GlyphMix;0.25;72
D3GlyphMix;0.25;72
D3Pie;0.25;72
D3Pie;0.25;72
D3GlyphMix;0.7857142857142857;73
D3Pie;0.7857142857142857;73
D3GlyphMix;0.7857142857142857;73
D3Pie;0.7857142857142857;73
D3Pie;0.7857142857142857;73
D3Glyph;0.7857142857142857;73
D3GlyphMix;0.7857142857142857;73
D3GlyphMix;0.7857142857142857;73
D3Pie;0.7857142857142857;73
D3Glyph;0.6071428571428571;75
D3Pie;0.6071428571428571;75
D3GlyphMix;0.6071428571428571;75
D3Pie;0.6071428571428571;75
D3Glyph;0.6071428571428571;75
D3GlyphMix;0.6071428571428571;75
D3Pie;0.6071428571428571;75
D3Glyph;0.6071428571428571;75
D3GlyphMix;0.6071428571428571;75
D3Glyph;0.5357142857142857;79
D3Glyph;0.5357142857142857;79
D3Pie;0.5357142857142857;79
D3Pie;0.5357142857142857;79
D3Pie;0.5357142857142857;79
D3Glyph;0.5357142857142857;79
D3GlyphMix;0.5357142857142857;79
D3Glyph;0.5357142857142857;79
D3GlyphMix;0.5357142857142857;79
D3Pie;0.39285714285714285;80
D3Glyph;0.39285714285714285;80
D3GlyphMix;0.39285714285714285;80
D3Pie;0.39285714285714285;80
D3GlyphMix;0.39285714285714285;80
D3Pie;0.39285714285714285;80
D3Pie;0.39285714285714285;80
D3Pie;0.39285714285714285;80
D3GlyphMix;0.39285714285714285;80
D3GlyphMix;0.5714285714285714;81
D3Pie;0.5714285714285714;81
D3GlyphMix;0.5714285714285714;81
D3GlyphMix;0.5714285714285714;81
D3Glyph;0.5714285714285714;81
D3GlyphMix;0.5714285714285714;81
D3GlyphMix;0.5714285714285714;81
D3Pie;0.5714285714285714;81
D3GlyphMix;0.5714285714285714;81
D3Pie;0.21428571428571427;83
D3Glyph;0.21428571428571427;83
D3GlyphMix;0.21428571428571427;83
D3Glyph;0.21428571428571427;83
D3Glyph;0.21428571428571427;83
D3Pie;0.21428571428571427;83
D3Pie;0.21428571428571427;83
D3Glyph;0.21428571428571427;83
D3GlyphMix;0.21428571428571427;83
D3GlyphMix;0.25;85
D3Glyph;0.25;85
D3GlyphMix;0.25;85
D3Glyph;0.25;85
D3Glyph;0.25;85
D3Glyph;0.25;85
D3Glyph;0.25;85
D3GlyphMix;0.25;85
D3Glyph;0.25;85
D3GlyphMix;0.32142857142857145;84
D3Pie;0.32142857142857145;84
D3GlyphMix;0.32142857142857145;84
D3GlyphMix;0.32142857142857145;84
D3Pie;0.32142857142857145;84
D3Pie;0.32142857142857145;84
D3Glyph;0.32142857142857145;84
D3GlyphMix;0.32142857142857145;84
D3Glyph;0.32142857142857145;84
D3Pie;0.7142857142857143;86
D3Glyph;0.7142857142857143;86
D3Glyph;0.7142857142857143;86
D3GlyphMix;0.7142857142857143;86
D3GlyphMix;0.7142857142857143;86
D3Pie;0.7142857142857143;86
D3Glyph;0.7142857142857143;86
D3Glyph;0.7142857142857143;86
D3GlyphMix;0.7142857142857143;86
D3Pie;0.5357142857142857;89
D3GlyphMix;0.5357142857142857;89
D3Glyph;0.5357142857142857;89
D3GlyphMix;0.5357142857142857;89
D3GlyphMix;0.5357142857142857;89
D3GlyphMix;0.5357142857142857;89
D3Glyph;0.5357142857142857;89
D3Glyph;0.5357142857142857;89
D3GlyphMix;0.5357142857142857;89
D3Glyph;0.6428571428571429;95
D3Glyph;0.6428571428571429;95
D3Pie;0.6428571428571429;95
D3Glyph;0.6428571428571429;95
D3Glyph;0.6428571428571429;95
D3Pie;0.6428571428571429;95
D3Pie;0.6428571428571429;95
D3GlyphMix;0.6428571428571429;95
D3GlyphMix;0.6428571428571429;95
D3GlyphMix;0.39285714285714285;97
D3GlyphMix;0.39285714285714285;97
D3Glyph;0.39285714285714285;97
D3GlyphMix;0.39285714285714285;97
D3GlyphMix;0.39285714285714285;97
D3GlyphMix;0.39285714285714285;97
D3Glyph;0.39285714285714285;97
D3Pie;0.39285714285714285;97
D3Pie;0.39285714285714285;97
